Date,Open,High,Low,Close,Adj Close,Volume
06/08/2016,164.0,166.0,163.5,165.5,129.8458251953125,"45,214,000"
06/13/2016,161.0,162.5,161.0,162.0,127.0998306274414,"48,750,000"
06/14/2016,161.0,163.0,161.0,162.0,127.0998306274414,"27,509,000"
06/15/2016,162.0,163.0,161.0,163.0,127.88442993164062,"29,270,000"
06/16/2016,161.5,162.5,159.5,160.5,125.92298889160156,"24,408,000"
06/17/2016,162.5,164.5,162.0,163.0,127.88442993164062,"30,633,000"
06/20/2016,164.5,165.0,163.0,163.0,127.88442993164062,"24,911,000"
06/21/2016,164.0,165.5,163.5,165.5,129.8458251953125,"27,970,000"
06/22/2016,164.5,166.0,163.5,166.0,130.2381134033203,"30,359,000"
06/23/2016,165.5,166.0,164.0,164.0,128.66897583007812,"22,494,000"
06/24/2016,164.0,164.0,154.5,159.0,124.74610900878906,"86,547,000"
06/27/2016,154.5,156.0,154.0,155.5,126.78446197509766,"42,874,000"
06/28/2016,155.5,157.5,155.0,157.0,128.00747680664062,"1,327,000"
06/29/2016,158.5,160.0,158.0,159.0,129.6381072998047,"31,514,000"
06/30/2016,161.0,163.0,159.5,162.5,132.4918212890625,"42,398,000"
07/01/2016,164.5,166.0,163.5,166.0,135.34547424316406,"36,212,000"
07/04/2016,165.5,166.5,164.5,166.0,135.34547424316406,"25,724,000"
07/05/2016,165.0,165.5,164.0,164.0,133.71481323242188,"16,346,000"
07/06/2016,163.0,163.0,160.5,161.5,131.67648315429688,"34,803,000"
07/07/2016,163.5,165.0,163.0,164.5,134.12245178222656,"23,769,000"
07/08/2016,164.5,164.5,164.5,164.5,134.12245178222656,0
07/11/2016,170.0,170.5,168.5,170.0,138.60679626464844,"50,643,000"
07/12/2016,171.0,171.5,169.5,171.0,139.42213439941406,"41,961,000"
07/13/2016,169.5,170.0,167.0,168.5,137.38375854492188,"50,653,000"
07/14/2016,167.0,170.0,167.0,169.0,137.79148864746094,"34,790,000"
07/15/2016,168.0,169.5,166.5,169.5,138.19915771484375,"41,546,000"
07/18/2016,168.0,170.0,168.0,169.5,138.19915771484375,"24,749,000"
07/19/2016,170.5,170.5,169.0,170.5,139.01449584960938,"42,456,000"
07/20/2016,170.0,170.5,169.0,170.0,138.60679626464844,"38,053,000"
07/21/2016,171.0,172.0,170.0,172.0,140.23745727539062,"33,130,000"
07/22/2016,172.0,172.0,170.5,171.0,139.42213439941406,"28,504,000"
07/25/2016,172.0,173.0,169.0,171.5,139.829833984375,"27,145,000"
07/26/2016,172.0,173.0,171.5,173.0,141.05282592773438,"32,685,000"
07/27/2016,175.0,176.0,174.5,175.0,142.68350219726562,"34,117,000"
07/28/2016,175.0,176.5,173.0,176.5,143.90647888183594,"31,071,000"
07/29/2016,177.0,177.0,172.5,172.5,140.64512634277344,"29,795,000"
08/01/2016,175.0,177.0,174.5,177.0,144.31414794921875,"34,188,000"
08/02/2016,177.5,177.5,175.5,176.0,143.4988250732422,"15,250,000"
08/03/2016,172.5,174.0,172.0,172.5,140.64512634277344,"21,627,000"
08/04/2016,173.0,174.5,172.5,174.5,142.27581787109375,"13,612,000"
